,pertanyaan,jawaban diharapkan,hasil jawaban,hasil tag
36,siapa nama lain dari nyimas ratu dewi inten dewata?,Ratu pucuk umun,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun,"[['siapa', 'CD'], ['nama', 'NN'], ['dari', 'IN'], ['nyimas', 'NN'], ['ratu', 'NN'], ['dewi', 'NN'], ['inten', 'NN'], ['dewata', 'NN']]"
37,siapa nama suami ratu pucuk umun?,Pangeran Santri / Pangeran Kusumadinata,Pangeran Kusumadinata,"[['siapa', 'CD'], ['nama', 'NN'], ['suami', 'NN'], ['ratu', 'NN'], ['pucuk', 'NN'], ['umun', 'NN']]"
38,siapa nama anak ratu pucuk umun?,Raden Angkawijaya,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun,"[['siapa', 'CD'], ['nama', 'NN'], ['anak', 'NN'], ['ratu', 'NN'], ['pucuk', 'NN'], ['umun', 'NN']]"
39,dimana ibukota sumedang larang dipindahkan pada masa Nyimas Ratu Dewi Inten Dewata?,kutamaya (sekarang sebelah barat kota sumedang),Kutamaya (sekarang sebelah barat Kota Sumedang),"[['dimana', 'NN'], ['ibukota', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['dipindahkan', 'VB'], ['masa', 'NN'], ['nyimas', 'NN'], ['ratu', 'NN'], ['dewi', 'NN'], ['inten', 'NN'], ['dewata', 'NN']]"
40,siapa nama anak nyimas ratu dewi inten dewata?,Raden Angkawijaya,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun,"[['siapa', 'CD'], ['nama', 'NN'], ['anak', 'NN'], ['nyimas', 'NN'], ['ratu', 'NN'], ['dewi', 'NN'], ['inten', 'NN'], ['dewata', 'NN']]"
41,siapa raja kesembilan kerajaan sumedang larang?,raden angkawijaya,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun,"[['siapa', 'CD'], ['raja', 'NN'], ['kesembilan', 'NN'], ['kerajaan', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
42,siapa yang menggantikan ratu pucuk umun?,raden angkawijaya,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun,"[['siapa', 'SC'], ['menggantikan', 'VB'], ['ratu', 'NN'], ['pucuk', 'NN'], ['umun', 'NN']]"
43,siapa nama lain dari Raden Angkawijaya?,Prabu Geusan Ulun,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun,"[['siapa', 'CD'], ['nama', 'NN'], ['dari', 'IN'], ['raden', 'NN'], ['angkawijaya', 'NN']]"
44,pada masa pemerintahan siapa sumedang larang menjadi kerajaan yang otonom dan merdeka?,Prabu Geusan Ulun,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun,"[['masa', 'NN'], ['pemerintahan', 'NN'], ['siapa', 'SC'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['menjadi', 'VB'], ['kerajaan', 'NN'], ['otonom', 'NN'], ['merdeka', 'NN']]"
45,dimana wilayah sumedang larang pada masa Prabu Geusan Ulun?,"Wilayahnya meliputi daerah Bandung (kabupaten) sekarang, Karawang, Ciasem, Pamanukan dan Indramayu","Wilayahnya meliputi daerah Bandung (kabupaten) sekarang, Karawang, Ciasem, Pamanukan dan Indramayu","[['dimana', 'NN'], ['wilayah', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['masa', 'NN'], ['prabu', 'NN'], ['geusan', 'NN'], ['ulun', 'NN']]"
46,siapa nama istri pertama Prabu Geusan Ulun?,Nyi Mas Cukang Gedengwaru,Nyi Mas Cukang Gedengwaru,"[['siapa', 'CD'], ['nama', 'NN'], ['istri', 'NN'], ['pertama', 'OD'], ['prabu', 'NN'], ['geusan', 'NN'], ['ulun', 'NN']]"
47,siapa nama istri kedua Prabu Geusan Ulun?,Ratu Harisbaya,Ratu Harisbaya,"[['siapa', 'CD'], ['nama', 'NN'], ['istri', 'NN'], ['kedua', 'CD'], ['prabu', 'NN'], ['geusan', 'NN'], ['ulun', 'NN']]"
48,siapa nama anak Prabu Geusan Ulun dari istri pertama?,Pangeran Rangga Gede,"Pangeran Rangga Gede, Nyi Mas Cukang Gedengwaru","[['siapa', 'CD'], ['nama', 'NN'], ['anak', 'NN'], ['prabu', 'NN'], ['geusan', 'NN'], ['ulun', 'NN'], ['istri', 'NN'], ['pertama', 'OD']]"
49,siapa nama anak Prabu Geusan Ulun dari istri kedua?,Raden Aria Suriadiwangsa,"Raden Aria Suriadiwangsa punya nama lain/gelar Raden Suriadiwangsa, Ratu Harisbaya","[['siapa', 'CD'], ['nama', 'NN'], ['anak', 'NN'], ['prabu', 'NN'], ['geusan', 'NN'], ['ulun', 'NN'], ['istri', 'NN'], ['kedua', 'OD']]"
50,Bagaimana peralihan kekuasaan dilakukan kepada Prabu Geusan Ulun?,"Peralihan kekuasaan Pajajaran ke Kerajaan Suemdang Larang terjadi ketika Kerajaan Pajajaran diambang keruntuhan, terjadi penggantian pimpinan tertinggi tahta pada Kerajaan Sumedang Larang dari Ratu Pucuk umum kepada Prabu Geusan Ulun. Peralihan kekuasaan Pajajaran ke Kerajaan Sumedang Larang secara simbolis dilakukan dengan penyerahan mahkota emas Kerajaan Pajajaran kepada Prabu Geusan Ulun. Ini berarti, Kerajaan Sumedang Larang adalah penerus Kerajaan Pajajaran atau Kerajaan Sunda.","Peralihan kekuasaan Pajajaran ke Kerajaan Sumedang Larang terjadi ketika Kerajaan Pajajaran diambang keruntuhan, terjadi pergantian pimpinan tertinggi tahta pada Kerajaan Sumedang Larang dari Ratu Pucuk umun kepada Prabu Geusan Ulun. Peralihan kekuasaan Pajajaran ke Kerajaan Sumedang Larang secara simbolis dilakukan dengan penyerahan mahkota emas Kerajaan Pajajaran kepada Prabu Geusan Ulun. Ini berarti, Kerajaan Sumedang Larang adalah penerus Kerajaan Pajajaran atau Kerajaan Sunda.","[['bagaimana', 'WH'], ['peralihan', 'NN'], ['kekuasaan', 'NN'], ['dilakukan', 'VB'], ['prabu', 'NN'], ['geusan', 'NN'], ['ulun', 'NN']]"
51,pada tahun berapa Prabu Geusan Ulun memerintah?,1580-1608 M,1580 - 1608 M,"[['tahun', 'NN'], ['berapa', 'WH'], ['prabu', 'NN'], ['geusan', 'NN'], ['ulun', 'NN'], ['memerintah', 'VB']]"
52,pada tahun berapa prabu Geusan Ulun wafat,Prabu Geusan Ulun wafatnya saat itu tahun 1608,"1580 - 1608 M, 1608 M","[['tahun', 'NN'], ['berapa', 'WH'], ['prabu', 'NN'], ['geusan', 'NN'], ['ulun', 'NN'], ['wafat', 'VB']]"
53,siapa yang menggantikan raden geusan ulun?,Raden Aria Suriadiwangsa,Raden Aria Suriadiwangsa punya nama lain/gelar Raden Suriadiwangsa,"[['siapa', 'SC'], ['menggantikan', 'VB'], ['raden', 'NN'], ['geusan', 'NN'], ['ulun', 'NN']]"
54,siapa yang menggantikan raden angkawijaya?,Raden Aria Suriadiwangsa,Raden Aria Suriadiwangsa punya nama lain/gelar Raden Suriadiwangsa,"[['siapa', 'SC'], ['menggantikan', 'VB'], ['raden', 'NN'], ['angkawijaya', 'NN']]"
55,siapa raja kesepuluh kerajaan sumedang larang?,Raden Aria Suriadiwangsa,Raden Aria Suriadiwangsa punya nama lain/gelar Raden Suriadiwangsa,"[['siapa', 'CD'], ['raja', 'NN'], ['kesepuluh', 'CD'], ['kerajaan', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
56,siapa yang mendeklarasikan sumedang larang menjadi penerus kerajaan Pajajaran ?,Prabu Geusan Ulun,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun,"[['siapa', 'SC'], ['mendeklarasikan', 'VB'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['menjadi', 'VB'], ['penerus', 'NN'], ['kerajaan', 'NN'], ['pajajaran', 'NNP']]"
57,dimana tempat Mahkota Raja Pajajaran disimpan?,"Mahkota Raja Pajajaran ini sekarang disimpan di Gedung Pusaka, Museum Prabu Geusan Ulun – Karaton Sumedang Larang dalam pengelolaan Yayasan Nazhir Wakaf Paneran Sumedang di Kota Sumedang.","Mahkota Raja Pajajaran ini sekarang disimpan di Gedung Pusaka, Museum Prabu Geusan Ulun – Karaton Sumedang Larang dalam pengelolaan Yayasan Nazhir Wakaf Paneran Sumedang di Kota Sumedang.","[['dimana', 'NN'], ['tempat', 'NN'], ['mahkota', 'NN'], ['raja', 'NN'], ['pajajaran', 'NNP'], ['disimpan', 'NN']]"
58,Pada tahun berapa kerajaan sumedang larang berdiri?,721 M,721 Masehi,"[['tahun', 'NN'], ['berapa', 'WH'], ['kerajaan', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['berdiri', 'NN']]"
59,Kapan sumedang larang berdiri?,721 M,721 Masehi,"[['kapan', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['berdiri', 'NN']]"
60,"sebelum nama kerajaan sumedang larang, apa nama kerajaan ini?",Kerajaan Tembong Agung,"Kerajaan Tembong Agung, Kerajaan Tembong Agung ini dipimpin oleh Prabu Guru Haji Aji Putih, sebagai raja pertama. Disebutkan, Prabu Guru masih terkait tali kekeluargaan dengan Prabu Sri Baduga Maharaja dari KerajaanSunda masa itu. Dia juga mempunyai seorang putera bernama Batara Tuntang Buana yang kemudian mendirikan Kerajaan Sumedang Larang. Ketika memimpin kerajaannya yang baru ini, Batara mengganti namanya menjadi Prabu Tajimalela.","[['sebelum', 'NN'], ['nama', 'NN'], ['kerajaan', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['apa', 'WH'], ['nama', 'NN'], ['kerajaan', 'NN']]"
61,ketika masih menjadi kerajaan tembong agung siapakah raja yang mendirikannya?,Prabu Guru Haji Aji Putih,Prabu Guru Haji Aji Putih,"[['masih', 'MD'], ['menjadi', 'VB'], ['kerajaan', 'NN'], ['tembong', 'NNP'], ['agung', 'NNP'], ['siapakah', 'NN'], ['raja', 'NN'], ['mendirikannya', 'RB']]"
62,siapakah raja yang mendirikan kerajaan tembong agung,Prabu Guru Haji Aji Putih,Prabu Guru Haji Aji Putih,"[['siapakah', 'NN'], ['raja', 'NN'], ['mendirikan', 'VB'], ['kerajaan', 'NN'], ['tembong', 'NNP'], ['agung', 'NNP']]"
63,pada tahun berapa sumedang mengalami kehancuran akibat serangan sultan banten?,1579,1579,"[['tahun', 'NN'], ['berapa', 'WH'], ['sumedang', 'NNP'], ['mengalami', 'VB'], ['kehancuran', 'NN'], ['akibat', 'NN'], ['serangan', 'NN'], ['sultan', 'NN'], ['banten', 'JJ']]"
64,bagian mana saja yang menjadi daerah kekuasaan sumedang larang?,"Jawa Barat, Banten, Cirebon dan Jayakarta (Batavia)","Jawa Barat, Banten, Cirebon dan Jayakarta (Batavia)","[['bagian', 'NN'], ['mana', 'NN'], ['yang', 'SC'], ['menjadi', 'VB'], ['daerah', 'NN'], ['kekuasaan', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
65,bercorak apa sajakah sumedang larang?,Islam,Islam,"[['bercorak', 'NN'], ['apa', 'WH'], ['sajakah', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
66,sejak kapan sumedang larang bercorak islam?,sejak ratu umun menikah dengan pangeran santri,sejak ratu umun menikah dengan pangeran santri,"[['sejak', 'NN'], ['kapan', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['bercorak', 'NN'], ['islam', 'IN']]"
67,mengapa terjadi peperangan pasukan panembahan ratu dengan prajurit cirebon?,karena kaburnya Ratu Harisbaya ke Sumedang Larang bersama Prabu Geusan Ulun,karena kaburnya Ratu Harisbaya ke Sumedang Larang bersama Prabu Geusan Ulun,"[['mengapa', 'WH'], ['terjadi', 'VB'], ['peperangan', 'NN'], ['pasukan', 'NN'], ['panembahan', 'NN'], ['ratu', 'NN'], ['prajurit', 'NN'], ['cirebon', 'NNP']]"
68,Mengapa kerajaan sumedang larang runtuh?,"Adanya pengakuan (pretensi) atas seluruh wilayah Jawa Barat kecuali Banten dan Cirebon kepada Belanda (VOC) yang menyebabkan seluruh wilayah Jawa Barat kecuali Banten dan Cirebon, dianggap sebagai wilayah Mataram di bagian barat Pulau Jawa berada dibawah Mataram. Sejak saat itu Kerajaan Sumedang Larang berubah statusnya menjadi Kabuphatian Sumedang di bawah kekuasaan Mataram. Sultan Agung kemudian secara resmi mengangkat Raden Aria Suriadiwangsa menjadi Bupati Sumedang yang pertama.","Adanya pengakuan (pretensi) atas seluruh wilayah Jawa Barat kecuali Banten dan Cirebon kepada Belanda (VOC) yang menyebabkan seluruh wilayah Jawa Barat kecuali Banten dan Cirebon, dianggap sebagai wilayah Mataram di bagian barat Pulau Jawa berada dibawah Mataram. Sejak saat itu Kerajaan Sumedang Larang berubah statusnya menjadi Kabuphatian Sumedang di bawah kekuasaan Mataram. Sultan Agung kemudian secara resmi mengangkat Raden Aria Suriadiwangsa menjadi Bupati Sumedang yang pertama.","[['mengapa', 'WH'], ['kerajaan', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['runtuh', 'NN']]"
69,Apa saja peninggalan kerajaan sumedang,"Badik Curuk Aul, Keris Ki Dukun, Keris Panunggul Naga, Mahkota Binokasih, Pedang Ki Mastak","Badik Curuk Aul, Keris Ki Dukun, Keris Panunggul Naga, Mahkota Binokasih, Pedang Ki Mastak, Mahkota Binokasih adalah mahkota Kerajaan Pajajaran yang diberikan kepada Prabu Geusan Ulun sebagai tanda bahwa Kerajaan Sumedang Larang sebagai penerus Kerajaan Pajajaran","[['apa', 'WH'], ['peninggalan', 'NN'], ['kerajaan', 'NN'], ['sumedang', 'NNP']]"
70,Nama raja-raja di sumedang larang,"Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun, Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela, Raden Aria Suriadiwangsa punya nama lain/gelar Raden Suriadiwangsa, Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun, Wirajaya punya nama lain/gelar Sunan Pagulingan, Prabu Tirtakusuma punya nama lain/gelar Sunan Patuakan","Nyimas Ratu Patuakan, Prabu Gajah Agung, Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun, Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela, Raden Aria Suriadiwangsa punya nama lain/gelar Raden Suriadiwangsa, Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun, Ratu Istri Rajamantri, Sunan Guling, Wirajaya punya nama lain/gelar Sunan Pagulingan, Prabu Tirtakusuma punya nama lain/gelar Sunan Patuakan","[['nama', 'NN'], ['raja', 'NN'], ['raja', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
71,Apa barang peninggalan mbak jaya perkasa?,Badik Curuk Aul,Badik Curuk Aul,"[['apa', 'WH'], ['barang', 'NN'], ['peninggalan', 'NN'], ['mbak', 'VB'], ['jaya', 'NN'], ['perkasa', 'NN']]"
72,siapa yang meninggalkan badik curuk aul?,Mbah Jaya Perkasa,Mbah Jaya Perkasa punya nama lain/gelar Batara Sang Hyang Hawu,"[['siapa', 'SC'], ['meninggalkan', 'VB'], ['badik', 'NN'], ['curuk', 'NN'], ['aul', 'NN']]"
73,siapa pemilik badik curuk aul?,Mbah Jaya Perkasa,Mbah Jaya Perkasa punya nama lain/gelar Batara Sang Hyang Hawu,"[['siapa', 'CD'], ['pemilik', 'NN'], ['badik', 'NN'], ['curuk', 'NN'], ['aul', 'NN']]"
74,Apa barang peninggalan prabu gajah agung?,Keris Ki Dukun,Keris Ki Dukun,"[['apa', 'WH'], ['barang', 'NN'], ['peninggalan', 'NN'], ['prabu', 'NN'], ['gajah', 'NN'], ['agung', 'NNP']]"
75,siapa yang meninggalkan keris ki dukun?,Prabu Gajah Agung,Prabu Gajah Agung,"[['siapa', 'SC'], ['meninggalkan', 'VB'], ['keris', 'NN'], ['ki', 'NN'], ['dukun', 'NN']]"
76,siapa pemilik keris ki dukun?,Prabu Gajah Agung,Prabu Gajah Agung,"[['siapa', 'CD'], ['pemilik', 'NN'], ['keris', 'NN'], ['ki', 'NN'], ['dukun', 'NN']]"
77,Apa barang peninggalan prabu geusan ulun?,"Keris Panunggul Naga, Mahkota Binokasih","Keris Panunggul Naga, Mahkota Binokasih, Mahkota Binokasih adalah mahkota Kerajaan Pajajaran yang diberikan kepada Prabu Geusan Ulun sebagai tanda bahwa Kerajaan Sumedang Larang sebagai penerus Kerajaan Pajajaran","[['apa', 'WH'], ['barang', 'NN'], ['peninggalan', 'NN'], ['prabu', 'NN'], ['geusan', 'NN'], ['ulun', 'NN']]"
78,siapa yang meninggalkan keris panunggul naga?,Prabu Geusan Ulun,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun,"[['siapa', 'SC'], ['meninggalkan', 'VB'], ['keris', 'NN'], ['panunggul', 'NN'], ['naga', 'NN']]"
