pertanyaan,jawaban diharapkan
Bagaimana peralihan kekuasaan dilakukan kepada Prabu Geusan Ulun?,"Peralihan kekuasaan Pajajaran ke Kerajaan Suemdang Larang terjadi ketika Kerajaan Pajajaran diambang keruntuhan, terjadi penggantian pimpinan tertinggi tahta pada Kerajaan Sumedang Larang dari Ratu Pucuk umum kepada Prabu Geusan Ulun. Peralihan kekuasaan Pajajaran ke Kerajaan Sumedang Larang secara simbolis dilakukan dengan penyerahan mahkota emas Kerajaan Pajajaran kepada Prabu Geusan Ulun. Ini berarti, Kerajaan Sumedang Larang adalah penerus Kerajaan Pajajaran atau Kerajaan Sunda."
pada tahun berapa Prabu Geusan Ulun memerintah?,1580-1608 M
pada tahun berapa prabu Geusan Ulun wafat,Prabu Geusan Ulun wafatnya saat itu tahun 1608
siapa yang menggantikan raden geusan ulun?,Raden Aria Suriadiwangsa
siapa yang menggantikan raden angkawijaya?,Raden Aria Suriadiwangsa
siapa raja kesepuluh kerajaan sumedang larang?,Raden Aria Suriadiwangsa
siapa yang mendeklarasikan sumedang larang menjadi penerus kerajaan Pajajaran ?,Prabu Geusan Ulun
dimana tempat Mahkota Raja Pajajaran disimpan?,"Mahkota Raja Pajajaran ini sekarang disimpan di Gedung Pusaka, Museum Prabu Geusan Ulun – Karaton Sumedang Larang dalam pengelolaan Yayasan Nazhir Wakaf Paneran Sumedang di Kota Sumedang."
Pada tahun berapa kerajaan sumedang larang berdiri?,721 M
Kapan sumedang larang berdiri?,721 M
"sebelum nama kerajaan sumedang larang, apa nama kerajaan ini?",Kerajaan Tembong Agung
ketika masih menjadi kerajaan tembong agung siapakah raja yang mendirikannya?,Prabu Guru Haji Aji Putih
siapakah raja yang mendirikan kerajaan tembong agung,Prabu Guru Haji Aji Putih
pada tahun berapa sumedang mengalami kehancuran akibat serangan sultan banten?,1579
bagian mana saja yang menjadi daerah kekuasaan sumedang larang?,"Jawa Barat, Banten, Cirebon dan Jayakarta (Batavia)"
bercorak apa sajakah sumedang larang?,Islam
sejak kapan sumedang larang bercorak islam?,sejak ratu umun menikah dengan pangeran santri
mengapa terjadi peperangan pasukan panembahan ratu dengan prajurit cirebon?,karena kaburnya Ratu Harisbaya ke Sumedang Larang bersama Prabu Geusan Ulun
Mengapa kerajaan sumedang larang runtuh?,"Adanya pengakuan (pretensi) atas seluruh wilayah Jawa Barat kecuali Banten dan Cirebon kepada Belanda (VOC) yang menyebabkan seluruh wilayah Jawa Barat kecuali Banten dan Cirebon, dianggap sebagai wilayah Mataram di bagian barat Pulau Jawa berada dibawah Mataram. Sejak saat itu Kerajaan Sumedang Larang berubah statusnya menjadi Kabuphatian Sumedang di bawah kekuasaan Mataram. Sultan Agung kemudian secara resmi mengangkat Raden Aria Suriadiwangsa menjadi Bupati Sumedang yang pertama."
Apa saja peninggalan kerajaan sumedang,"Badik Curuk Aul, Keris Ki Dukun, Keris Panunggul Naga, Mahkota Binokasih, Pedang Ki Mastak"
Nama raja-raja di sumedang larang,"Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun, Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela, Raden Aria Suriadiwangsa punya nama lain/gelar Raden Suriadiwangsa, Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun, Wirajaya punya nama lain/gelar Sunan Pagulingan, Prabu Tirtakusuma punya nama lain/gelar Sunan Patuakan"
Apa barang peninggalan mbak jaya perkasa?,Badik Curuk Aul
siapa yang meninggalkan badik curuk aul?,Mbah Jaya Perkasa
siapa pemilik badik curuk aul?,Mbah Jaya Perkasa
Apa barang peninggalan prabu gajah agung?,Keris Ki Dukun
siapa yang meninggalkan keris ki dukun?,Prabu Gajah Agung
siapa pemilik keris ki dukun?,Prabu Gajah Agung
Apa barang peninggalan prabu geusan ulun?,"Keris Panunggul Naga, Mahkota Binokasih"
siapa yang meninggalkan keris panunggul naga?,Prabu Geusan Ulun
siapa pemilik keris panunggul naga?,Prabu Geusan Ulun
siapa yang meninggalkan mahkota binokasih?,Prabu Geusan Ulun
siapa pemilik mahkota binokasih?,Prabu Geusan Ulun
apa itu mahkota binokasih?,Mahkota Binokasih adalah mohkota Kerajaan Pajajaran yang diberikan kepada Prabu Geusan Ulun sebagai tanda bahwa Kerajaan Sumedang Larang sebagai penerus Kerajaan Pajajaran
Apa barang peninggalan prabu resi tajimalela?,Pedang Ki Mastak
siapa yang meninggalkan pedang ki mastak?,Prabu Resi Tajimalela
siapa pemilik pedang ki mastak?,Prabu Resi Tajimalela
siapa itu kandage lante?,"Mbah Jaya Perkasa, Nangann, Kodang Hapa, dan Terong Peot (Kandage Lante)"
apa itu kandage lante?,"semasa kejayaan Pajajaran, ada empat pejabat tinggi Pajajaran yang berasal dari Sumedang yaitu Mbah Jaya Perkasa, Nangann, Kodang Hapa, Terong Peot. Keempat orang ini mulanya mengabdi pada Kerajaan Pajajaran. Ketika Kerajaan Pajajaran runtuh, keempat pejabat tinggi ini diamanahkan untuk menyerahkan mahkota bernama Binokasih, dari Raja Pajajaran waktu itu (Raja Mulya Surya Kencana), kepada Prabu Geusan Ulun. Kemudian keempat petinggi kerajaan tadi atau Kandage Lante itu mengabdi kepada Prabu Geusan Ulun, diangkat sebagai panglima dan penasihat."
siapa nama Mbah Jaya Perkasa?,Mbah Jaya Perkasa
apa gelar Mbah Jaya Perkasa?,Batara Sang Hyang Hawu
Siapa nama Kodang Hapa?,Kodang Hapa
Apa gelar Kodang Hapa?,Batara Sang Hyang Kodang Hapa
Siapa nama Nangann?,Nangann
Apa gelar Nangann?,Batara Dipati Wiradijaya
Siapa nama Terong Peot?,Terong Peot
Apa gelar Terong Peot?,Batara Pancar Buana
Siapa nama ratu kedua kerajaan sumedang larang?,Nyimas Ratu Patuakan
Dimana peninggalan-peninggalan Kerajaan Sumedang Larang disimpan?,"Peninggalan Kerajaan Sumedang Larang sekarang berada di Gedung Pusaka, Museum Prabu Geusan Ulun – Karaton Sumedang Larang dalam pengelolaan Yayasan Nazhir Wakaf Paneran Sumedang di Kota Sumedang."
Bagaiama asal usul nama Sumedang larang?,"Batara Tuntang Buana bersabda ""Ingsun Medal Ingsun Madangan"" (aku lahir aku memberikan penerangan) yang sekarang dijadikan nama Sumedang"
